index,Job Title,Salary Estimate,,Rating,Company Name,Location,Founded,Type of ownership,,Lower Salary,Upper Salary,Avg Salary(K)
175,Senior Data Scientist Statistics,$74K-$123K (Glassdoor est.),,3.8,"PNNL
3.8","Richland, WA",1965,Government,,74,123,98.5
177,Senior Data Analyst,$44K-$78K (Glassdoor est.),,4.8,"KnowBe4
4.8","Clearwater, FL",2010,Company - Private,,44,78,61
178,Senior Spark Engineer (Data Science),$65K-$148K (Glassdoor est.),,4.4,"KSM Consulting
4.4","Indianapolis, IN",2008,Company - Private,,65,148,106.5
179,Data Engineer,$59K-$110K (Glassdoor est.),,3.9,"Cogo Labs
3.9","Cambridge, MA",2005,Company - Private,,59,110,84.5
180,BI & Platform Analytics Manager,$85K-$134K (Glassdoor est.),,3.4,"Church & Dwight
3.4","Ewing, NJ",1846,Company - Public,,85,134,109.5
181,Lead Data Scientist,$124K-$204K (Glassdoor est.),,3.6,"MassMutual
3.6","Boston, MA",1851,Company - Private,,124,204,164
182,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K (Glassdoor est.),,3.9,"Genentech
3.9","South San Francisco, CA",1976,Subsidiary or Business Segment,,131,207,169
183,Senior Data Scientist,$110K-$174K (Glassdoor est.),,3.8,"Juniper Networks
3.8","Cupertino, CA",1996,Company - Public,,110,174,142
185,Pricipal Scientist Molecular and cellular biologist,$52K-$101K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",1781,Company - Public,,52,101,76.5
187,"Data Scientist (Actuary, FSA or ASA)",$81K-$133K (Glassdoor est.),,3.8,"Legal & General America
3.8","Frederick, MD",1981,Company - Private,,81,133,107
188,Staff Data Scientist,$132K-$211K (Glassdoor est.),,3.5,"Western Digital
3.5","San Jose, CA",1970,Company - Public,,132,211,171.5
190,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),,3.9,"Health IQ
3.9","Dallas, TX",2013,Company - Private,,73,119,96
191,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),,4.2,"Nuna
4.2","San Francisco, CA",2010,Company - Private,,110,175,142.5
192,Data Engineer 5 - Contract (Remote),$74K-$140K (Glassdoor est.),,4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",-1,Nonprofit Organization,,74,140,107
193,Senior Scientist - Neuroscience,$100K-$190K (Glassdoor est.),,3.5,"Sunovion
3.5","Marlborough, MA",2010,Company - Private,,100,190,145
194,Senior Data Analyst,$43K-$80K (Glassdoor est.),,2.9,"National Student Clearinghouse
2.9","Herndon, VA",1993,Nonprofit Organization,,43,80,61.5
197,Medical Lab Scientist,$17-$24 Per Hour(Glassdoor est.),,3.6,"Tower Health
3.6","West Reading, PA",2017,Nonprofit Organization,,35,49,42
198,"Risk and Analytics IT, Data Scientist",$91K-$149K (Glassdoor est.),,2.7,"State of Wisconsin Investment Board
2.7","Madison, WI",1951,Government,,91,149,120
199,"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),,4.4,"Rubius Therapeutics
4.4","Cambridge, MA",2013,Company - Public,,42,82,62
200,Senior Data Scientist,$116K-$185K (Glassdoor est.),,4,"Autodesk
4.0","San Francisco, CA",1982,Company - Public,,116,185,150.5
201,Analytics Manager,$59K-$116K (Glassdoor est.),,4.3,"OneMagnify
4.3","Dearborn, MI",1967,Company - Private,,59,116,87.5
202,Data Engineer,$48K-$95K (Glassdoor est.),,4.2,"IZEA
4.2","Winter Park, FL",2006,Company - Public,,48,95,71.5
203,Digital Marketing & ECommerce Data Analyst,$31K-$72K (Glassdoor est.),,3.6,"Vionic Group
3.6","San Rafael, CA",2006,Subsidiary or Business Segment,,31,72,51.5
204,Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","San Diego, CA",1781,Company - Public,,105,198,151.5
205,Senior Data Analyst,$55K-$100K (Glassdoor est.),,2.8,"Dodge Data & Analytics
2.8","Hamilton, NJ",2014,Company - Private,,55,100,77.5
206,Principal Scientist - Immunologist,$98K-$182K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",1781,Company - Public,,98,182,140
207,Senior Data Scientist,$73K-$124K (Glassdoor est.),,3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ",1982,Company - Private,,73,124,98.5
208,Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,,-1,CA-One Tech Cloud,"San Francisco, CA",2017,Company - Private,,200,250,225
209,MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour(Glassdoor est.),,3.6,"Beebe Healthcare
3.6","Lewes, DE",1935,Nonprofit Organization,,43,70,56.5
210,"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K (Glassdoor est.),,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA",1781,Company - Public,,117,206,161.5
211,Sr. Data Scientist II,$111K-$183K (Glassdoor est.),,3.4,"Argo Group US
3.4","New York, NY",1948,Company - Public,,111,183,147
212,Excel / VBA / SQL Data Analyst,$44K-$78K (Glassdoor est.),,4.1,"Associated Electric Cooperative
4.1","Springfield, MO",1961,Company - Private,,44,78,61
213,Machine Learning Research Scientist,$81K-$159K (Glassdoor est.),,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA",1984,College / University,,81,159,120
215,"VP, Data Science",$83K-$166K (Glassdoor est.),,3.2,"PennyMac
3.2","Phoenix, AZ",2008,Company - Public,,83,166,124.5
216,Senior Data Scientist,$114K-$182K (Glassdoor est.),,3.9,"Zest AI
3.9","Burbank, CA",2009,Company - Private,,114,182,148
217,Radar Data Analyst,$42K-$76K (Glassdoor est.),,4.7,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL",1996,Company - Private,,42,76,59
